["Mono", "LMPP", "LSC-SU070", "LMPP", "Blast-SU353", "LMPP", "LMPP", "Blast-SU353", "Mono", "LMPP", "LSC-SU353", "LSC-SU070", "Mono", "Mono", "Mono", "LSC-SU070", "Blast-SU353", "LMPP", "Blast-SU353", "LSC-SU353"]
time(s),iter,infeas,ot_objective,primal,dual,solver
3.724806e+00,3251,1.76270881114626e-07,1.45474132534341e-01,1.45474308805222e-01,1.45444033980031e-01,3.02748251916340e-05,lamp_kernel
4.017652e+00,3501,1.67708753084258e-07,1.45473096601557e-01,1.45473264310311e-01,1.45446516398817e-01,2.67479114939018e-05,lamp_kernel
4.310496e+00,3751,1.59859446408533e-07,1.45472272308789e-01,1.45472432168235e-01,1.45448450594058e-01,2.39815741769345e-05,lamp_kernel
4.597812e+00,4001,1.41747676187467e-07,1.45471606845048e-01,1.45471748592724e-01,1.45449634928592e-01,2.21136641322950e-05,lamp_kernel
4.885387e+00,4251,1.13449577353761e-07,1.45471063516789e-01,1.45471176966366e-01,1.45450653833786e-01,2.05231325799970e-05,lamp_kernel
5.173195e+00,4501,9.01786046921465e-08,1.45470616744750e-01,1.45470706923354e-01,1.45451707775461e-01,1.89991478935780e-05,lamp_kernel
5.467686e+00,4751,6.93332878549142e-08,1.45470244757355e-01,1.45470314090643e-01,1.45452665155119e-01,1.76489355238896e-05,lamp_kernel
5.763289e+00,5001,5.25314088138296e-08,1.45469929616821e-01,1.45469982148230e-01,1.45453442854798e-01,1.65392934314834e-05,lamp_kernel
time(s),iter,infeas,ot_objective,primal,dual,solver
1.111750e-04,1,1.49306930693069e+00,3.44979046533790e-01,1.83804835346448e+00,0.00000000000000e+00,1.83804835346448e+00,lamp_kernel
2.822974e-01,251,4.21688162141809e-04,2.12823564307998e-01,2.13245252470140e-01,2.10560590842209e-01,2.68466162793013e-03,lamp_kernel
5.632568e-01,501,8.63939869243949e-05,2.11923570445239e-01,2.12009964432163e-01,2.11271507013597e-01,7.38457418566513e-04,lamp_kernel
8.433606e-01,751,3.30603805773727e-05,2.11762088128021e-01,2.11795148508598e-01,2.11434178110661e-01,3.60970397936755e-04,lamp_kernel
1.124105e+00,1001,1.94653546774295e-05,2.11709206350661e-01,2.11728671705339e-01,2.11495053909949e-01,2.33617795390106e-04,lamp_kernel
1.407491e+00,1251,7.43259535247845e-06,2.11686105157751e-01,2.11693537753103e-01,2.11541704096704e-01,1.51833656398953e-04,lamp_kernel
