cross_term_1,cross_term_2,diff,cumsum
4.853310355147093e-10,7.283288627964882e-16,-4.853303071858465e-10,-0.05766967964930376
4.777863618016488e-10,5.175984461844568e-16,-4.777858442032026e-10,-0.05766968927686945
4.703374620614307e-10,9.46839580717742e-17,-4.703373673774726e-10,-0.057669698753991104
4.630975412715798e-10,5.298073579071446e-16,-4.630970114642219e-10,-0.05766970808441085
4.5592484772409853e-10,4.1819946499636934e-16,-4.559244295246335e-10,-0.0576697172711385
4.487627011623878e-10,7.713319968341727e-17,-4.4876262402918813e-10,-0.05766972631420131
4.4177785650855835e-10,7.616385873704144e-17,-4.417777803446996e-10,-0.05766973521581259
4.3492732212398187e-10,3.134014332872635e-16,-4.3492700872254857e-10,-0.05766974397933724
4.2809205062065305e-10,1.7749291733287476e-16,-4.280918731277357e-10,-0.057669752606050284
4.2137363596182837e-10,3.288856595544353e-17,-4.213736030732624e-10,-0.05766976109706847
4.1480818607401257e-10,1.7175814966150863e-16,-4.148080143158629e-10,-0.05766976945539239
4.083096924625875e-10,1.8306682945754405e-16,-4.08309509395758e-10,-0.05766977768328167
4.01877039374427e-10,-1.3209313608434698e-17,-4.0187705258374057e-10,-0.05766978578172697
3.955850375991136e-10,1.0383300721170958e-16,-3.9558493376610637e-10,-0.05766979375296645
3.8940261053718387e-10,1.9590389052103252e-16,-3.8940241463329333e-10,-0.05766980159963447
3.832774487177329e-10,7.567267767051181e-17,-3.8327737304505523e-10,-0.057669809323249104
3.772613925245518e-10,-3.062856559585735e-17,-3.772614231531174e-10,-0.05766981692540828
3.713701767579704e-10,8.25859236466459e-17,-3.7137009417204674e-10,-0.057669824408599746
3.6555870871101e-10,5.232669447695132e-17,-3.6555865638431553e-10,-0.05766983177487975
3.5982848875328866e-10,-2.7386764158392633e-18,-3.598284914919651e-10,-0.05766983902570769
3.542159376437166e-10,3.5683141248853886e-17,-3.542159019605754e-10,-0.057669846163147416
3.487051855747908e-10,9.428991655907249e-17,-3.487050912848742e-10,-0.05766985318946614
3.4327028239061044e-10,6.58964009567682e-17,-3.4327021649420946e-10,-0.057669860106366745
3.3793431095523506e-10,4.32082542671669e-17,-3.379342677469808e-10,-0.05766986691555612
3.327070373118338e-10,5.010090116041528e-17,-3.3270698721093264e-10,-0.0576698736191877
3.275664203053919e-10,9.277204154671228e-17,-3.2756632753335033e-10,-0.057669880219223875
3.225096422966353e-10,2.8193165303049285e-17,-3.2250961410346996e-10,-0.05766988671729721
3.175550806656553e-10,-1.5844576262761616e-18,-3.1755508225011293e-10,-0.05766989311529349
3.1269690740451135e-10,8.223546250221251e-18,-3.126968991809651e-10,-0.057669899415240505
3.0792033523673537e-10,5.292104423850341e-17,-3.0792028231569116e-10,-0.0576699056188887
3.0323372700667083e-10,3.433737884271486e-17,-3.03233692669292e-10,-0.05766991172792416
2.986442553148289e-10,6.386832925417197e-17,-2.9864419144649965e-10,-0.05766991774425273
2.94141325198924e-10,3.285083491915033e-17,-2.941412923480891e-10,-0.05766992366972261
2.8972019286770974e-10,3.680220424582054e-17,-2.897201560655055e-10,-0.05766992950598418
2.8538940949178503e-10,-1.1417926425673197e-17,-2.8538942090971146e-10,-0.0576699352547604
2.811479546996182e-10,3.7313046374959687e-17,-2.811479173865718e-10,-0.057669940917871726
2.7698725742632894e-10,5.120663891218631e-17,-2.7698720621969e-10,-0.05766994649701135
2.729085270924021e-10,3.4142094490831285e-17,-2.729084929503076e-10,-0.057669951993786786
2.689162451676588e-10,5.123386264511073e-17,-2.689161939337962e-10,-0.05766995740989516
2.65006057733584e-10,5.983737198194291e-17,-2.65005997896212e-10,-0.05766996274703191
2.6117307181695615e-10,-8.10366524761409e-18,-2.611730799206214e-10,-0.05766996800677637
2.57420215587972e-10,1.4345743853627857e-17,-2.5742020124222814e-10,-0.05766997319069654
